Reference,Property Type,Ad Type,Bedrooms,Bathrooms,Area (sqft),Details,Service Type,Address,Price (AED),DLD Permit Number,Agent ID
PF-May-Sixteen-VS-71590,Villa,VERIFIED,5,5,10087,B1 I 5Bed I Corner Plot I Great Pool,PREMIUM,"Esmeralda, Victory Heights, Dubai Sports City, Dubai",9800000,6512615000.0,0bc534e0-5786-4d7b-ad83-7a7d76823618
eandt-5020536,Apartment,VERIFIED,2,3,2479,Duplex Apartment | Furnished | Vacant | 2 Parkings,PREMIUM,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai",8500000,7117905455.0,112baf3f-31b9-44ed-a104-7958df01d2f1
eandt-4997454,Apartment,VERIFIED,3,5,2149,Exclusive | Fully Upgraded | Fully Furnished,PREMIUM,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai",7350000,7117905388.0,112baf3f-31b9-44ed-a104-7958df01d2f1
PF-VS-77105,Villa,VERIFIED,4,5,10030,"Must See Upscale 10,030 sqft Plot | 4 BR, Meadows1",PREMIUM,"Meadows 1, Meadows, Dubai",9500000,6512967700.0,7f76df80-4d81-48c5-8b1d-d9eb402bf149
PER-S-5971,Villa,VERIFIED,5,5,7561,"Ready to move in, great location, 9042 sqft plot",PREMIUM,"District One Villas, District One, Mohammed Bin Rashid City, Dubai",22000000,6515876744.0,95ce78e9-ea5d-4f5d-8867-00c1114a0061
WIL-S-6413,Apartment,VERIFIED,1,1,962,GOLF COURSE VIEW | HIGH FLOOR | BALCONY,PREMIUM,"Golf Tower 3, Golf Towers, The Views, Dubai",1800000,7118896200.0,04cbaddb-c309-4d1b-8026-a2157ff4ecf8
ET-S-10038,Apartment,VERIFIED,1,1,728,Vacant on Transfer | Fully Furnished | Palm View,PREMIUM,"Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",2750000,71164298956.0,47ccf468-1a40-47d6-8963-2c1b5a4a17a4
exclusivehomes-4390582,Villa,VERIFIED,5,6,6726,Highly upgraded | 5BR + Pool |Park view,PREMIUM,"Hacienda, The Villa, Dubai",7999990,6562542940.0,10c7527d-c964-4b3b-a612-04df657a625b
ES-1698,Villa,VERIFIED,4,4,3352,End Unit | Great Location | TH2,PREMIUM,"Oliva, Victory Heights, Dubai Sports City, Dubai",3250000,6599750000.0,a136116d-e179-4b80-9bf0-fd1d9a3552fb
WIL-S-6618,Apartment,VERIFIED,1,1,736,ONE BEDROOM | GOLF COURSE VIEW | BALCONY,PREMIUM,"Tanaro, The Views, Dubai",1400000,7127545600.0,04cbaddb-c309-4d1b-8026-a2157ff4ecf8
providentrealestatebroker-4944104,Apartment,VERIFIED,Studio,1,647,Bright and Spacious | Investors and Endusers deal,PREMIUM,"Travo Tower A, Travo, The Views, Dubai",840000,7121642100.0,54bd1a0b-5f65-4c42-a7f7-13e78d76ec80
ES-21434,Apartment,VERIFIED,2,3,1206,Exclusive | Corner Unit | Amazing Views,PREMIUM,"Golf Suites, Dubai Hills, Dubai Hills Estate, Dubai",2600000,71197962238.0,66d2d3c8-a100-454b-8562-e8948e540356
WIL-S-6134,Apartment,VERIFIED,2,4,1968,HIGH FLOOR | TWO BEDROOM | FOUNTAIN VIEW FURNISHED,PREMIUM,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",5900000,7121567800.0,f374d292-e57c-4961-90c7-56ece58ca7d2
EDS - 244,Apartment,VERIFIED,3,4,3598,Exclusive | Mid Floor | Massive Apartment | Vacant,PREMIUM,"Limestone House, DIFC, Dubai",6250000,363301932.0,4077e31b-876f-4ba2-99bc-d1d709bd4c9f
PP-S-2200,Villa,VERIFIED,3,3,2524,Vacant | Close to Pool & Park | View Today,PREMIUM,"Mira 3, Mira, Reem, Dubai",2885000,6917268138.0,e135c427-d32b-4032-a178-30cd7a869150
exclusivehomes-4897907,Villa,VERIFIED,5,7,11967,Highly Upgraded | Vastu | Cinema | Near School,PREMIUM,"The Centro, The Villa, Dubai",9000000,6528375100.0,10c7527d-c964-4b3b-a612-04df657a625b
exclusivehomes-4750711,Villa,VERIFIED,5,6,6010,Park View | 5 En-suite + Study | Pool | VOT,PREMIUM,"Hacienda, The Villa, Dubai",7300000,6514424674.0,10c7527d-c964-4b3b-a612-04df657a625b
L-209124,Villa,VERIFIED,5,8,7510,5 Bedroom | Luxury Villa | Owner Occupied,PREMIUM,"Millennium Estates, Meydan Gated Community, Meydan, Dubai",10499999,6512092572.0,041625b6-8b1e-4494-8c33-f1672cd87355
ES-1003611,Villa,VERIFIED,5,4,3805,Well Maintained | Popular Layout | 5 Beds,PREMIUM,"Meadows 9, Meadows, Dubai",7500000,6597414000.0,25ae54d3-3c3c-4781-a468-b1a4082c2cbe
PB-S-1719,Apartment,VERIFIED,3,3,2221,3 Beds | Type C | Close to Mall | Beach Access,PREMIUM,"Al Sarrood, Shoreline Apartments, Palm Jumeirah, Dubai",3600000,7119373800.0,cd023fba-0adc-4261-9ae8-ab3ae15bc25a
arabland-5014761,Townhouse,VERIFIED,3,4,1208,Investor Deal | Ready To Move | Brand New,PREMIUM,"Basswood, Damac Hills 2, Dubai",950000,65489167272.0,61e5eff8-8612-4cee-a5e2-4f521cbcc0e4
HHRE-S-10354,Villa,VERIFIED,4,4,3196,Exclusvie 4 bedrooms type 3 villa | Great Location,PREMIUM,"Casa, Arabian Ranches 2, Dubai",4375000,6589996060.0,7ba62b9a-664e-4bf0-81c3-92d35d2e136e
JVG230041,Townhouse,VERIFIED,3,2,2200,Upgraded 3 Bedroom with Private Pool,PREMIUM,"Jumeirah Luxury, Jumeirah Golf Estates, Dubai",4200000,69137526140.0,20ab65f5-bb05-4857-8aa2-2cea435829bb
WIL-S-6047,Villa,VERIFIED,4,4,4300,EXCLUSIVE | PARK BACKING | C3 EXTENDED,PREMIUM,"Estella, Victory Heights, Dubai Sports City, Dubai",6500000,6599804000.0,cc9a38f9-a9d2-4483-87fb-bfa5e0169413
WIL-S-6288,Villa,VERIFIED,5,5,3998,LARGE PLOT | VACANT ON TRANSFER | TYPE 13,PREMIUM,"Meadows 2, Meadows, Dubai",7500000,6595768000.0,66a73d14-9a11-4925-a2b4-552120535af6
WIL-S-5546,Villa,VERIFIED,4,6,3500,4 BED + BASEMENT | MODERN FINISH | VACANT,PREMIUM,"Westar Crest Townhouses, Jumeirah Village Circle, Dubai",2750000,69330927416.0,c135f06e-b517-4afc-bf9c-108603271873
L-189197,Villa,VERIFIED,6,6,5806,6 Bedrooms | View Today | Modern Design,PREMIUM,"Phase 2, Al Furjan, Dubai",5750000,6511771195.0,b3431f7d-a0c6-4407-9622-09c47d7f0157
XO-1921,Villa,VERIFIED,3,4,5489,New To Market | Keys On Exchnage,PREMIUM,"Legacy, Jumeirah Park, Dubai",4900000,6513025800.0,6e1a9151-2bf2-4636-9534-4c4930ae1c32
DB-S-39531,Apartment,VERIFIED,3,3,1514,Spacious I Excellent Layout I bright,PREMIUM,"The Signature, Burj Khalifa Area, Downtown Dubai, Dubai",2900000,7110215483.0,ecd5d503-9aa2-4c34-973d-0dde1d61444c
ES-20230,Villa,VERIFIED,5,4,4849,Stunning Golf Course View |Fully Upgraded,PREMIUM,"Saheel, Arabian Ranches, Dubai",Ask,6599265000.0,66d2d3c8-a100-454b-8562-e8948e540356
TREO-S-19242,Villa,VERIFIED,3,4,3527,Dist 7 | Immaculate Condition | See Today,PREMIUM,"Regional, Jumeirah Park, Dubai",5000000,6513520100.0,29c5c198-a909-4d65-84e1-8ad94b5f3f98
TREO-S-19473,Villa,VERIFIED,4,4,4157,Prime Location | D9 | Excellent Condition,PREMIUM,"Legacy Nova Villas, Jumeirah Park, Dubai",5150000,6513754200.0,29c5c198-a909-4d65-84e1-8ad94b5f3f98
S2023-105,Villa,VERIFIED,4,5,14166,Ultra-Luxury | Unique Plot | Smart Home,PREMIUM,"Olive Point, Earth, Jumeirah Golf Estates, Dubai",17800000,6530421600.0,a2e9cefc-027f-4764-81b3-fbf1e7470fe6
DUB213373,Apartment,VERIFIED,2,2,1551,Exclusive | Low Floor | 2 Bedrooms + Study,PREMIUM,"Al Mass Tower, Emaar 6 Towers, Dubai Marina, Dubai",2600000,7116008300.0,bb191eba-d513-4acc-8eaa-0b49805801b5
DBI714002,Villa,VERIFIED,5,5,6210,| Exclusive One Of A Kind Villa |,PREMIUM,"Family Villa Area, Green Community East, Green Community, Dubai",Ask,6968373960.0,81fcad9f-98d2-4a14-822e-893ea42e2d6f
DBI710819,Townhouse,VERIFIED,3,4,2875,Exclusive | Immaculate condition | VOT,PREMIUM,"Redwood Park, Fire, Jumeirah Golf Estates, Dubai",4500000,6514194721.0,81fcad9f-98d2-4a14-822e-893ea42e2d6f
luxehomes-4488490,Apartment,VERIFIED,2,2,1211,2-Bedroom | La Sirene 2 | Handover 2024,PREMIUM,"Port de La Mer, La Mer, Jumeirah, Dubai",2950000,71362717128.0,dc4a00d8-91e4-4ee6-a18a-2457e310cc0a
jadeandco-4863283,Villa,VERIFIED,4,5,4309,Exclusive | Vastu | Swimming Pool | Corner,PREMIUM,"Rosa, Arabian Ranches 2, Dubai",6600000,6510971707.0,6d3c363a-fa1b-403b-b0df-956fdf21ad8c
GS-S-20079,Villa,VERIFIED,5,6,4443,EXCLUSIVE | Beach Royal 5BR Residences Villa,PREMIUM,"Jumeirah Zabeel Saray, The Crescent, Palm Jumeirah, Dubai",Ask,6910912564.0,727f876a-4e24-4a68-acfc-c20bb514c3c1
ET-S-9803,Apartment,VERIFIED,2,3,1679,Two beds| Lake Apartments| Tenanted,PREMIUM,"Lake Apartments E, Lake Apartments, Green Community, Dubai",1300000,7169826570.0,f1af52e6-d07d-42e0-9f3b-978b04419a18
WIL-S-6721,Apartment,VERIFIED,1,1,802,LOW FLOOR | RENTED | ONE BEDROOM APARTMENT,PREMIUM,"The Links West Tower, The Links, The Views, Dubai",1150000,7122451300.0,04cbaddb-c309-4d1b-8026-a2157ff4ecf8
L-212018,Villa,VERIFIED,4,4,4900,Opposite Park | 4 Bedrooms | Open Plan,PREMIUM,"Legacy Nova Villas, Jumeirah Park, Dubai",5350000,,b3431f7d-a0c6-4407-9622-09c47d7f0157
RL33231,Apartment,VERIFIED,1,1,711,Investor Deal | 1 BR Brand New & Vacant,PREMIUM,"Golf Suites, Dubai Hills, Dubai Hills Estate, Dubai",1300000,71197965152.0,7d39e396-e262-4b60-908a-a515957b1f4a
PF-AS-59833,Apartment,VERIFIED,2,3,1491,Upgraded with stunning view of Burj Khalifa,PREMIUM,"South Ridge 6, South Ridge, Downtown Dubai, Dubai",3100000,,238bea24-4a83-48d0-8e6c-927363d79759
PF-AS-85541,Apartment,VERIFIED,1,2,708,Just handed over | Canal View | Brand New,PREMIUM,"15 Northside, Business Bay, Dubai",1400000,71331814274.0,238bea24-4a83-48d0-8e6c-927363d79759
RL2677,Villa,VERIFIED,4,5,6135,Type A B|Multiple Units Available|Best Price,PREMIUM,"Murooj Al Furjan, Al Furjan, Dubai",4350000,65362761906.0,053e4ca6-bfb1-4a27-b9d4-75c4572d0fe9
exclusivehomes-4941355,Villa,VERIFIED,6,7,9900,Vastu | Customized | Corner 6 beds |Basement,PREMIUM,"Ponderosa, The Villa, Dubai",8999999,6526257536.0,10c7527d-c964-4b3b-a612-04df657a625b
exclusivehomes-4973916,Villa,VERIFIED,6,7,8000,Corner | 6 Bedrooms + Basement | Elevator,PREMIUM,"The Aldea, The Villa, Dubai",7200000,6513693439.0,10c7527d-c964-4b3b-a612-04df657a625b
exclusivehomes-4913854,Villa,VERIFIED,4,5,6149,Luxurious | 4Beds | Sauna |Branded Fittings,PREMIUM,"The Aldea, The Villa, Dubai",6499888,6510869135.0,10c7527d-c964-4b3b-a612-04df657a625b
ES-21191,Villa,VERIFIED,2,3,1793,Fully Upgraded | Extended 4E | Large Plot,PREMIUM,"Springs 12, The Springs, Dubai",3000000,6914400900.0,25ae54d3-3c3c-4781-a468-b1a4082c2cbe
arabland-4845238,Apartment,VERIFIED,1,1,767,Ready to Move | Brand New | Best Amenities,PREMIUM,"Carson, The Drive, DAMAC Hills, Dubai",980000,7117690566.0,61e5eff8-8612-4cee-a5e2-4f521cbcc0e4
RC-S-19286,Villa,VERIFIED,2,2,1824,Spacious 2BR | Well Maintained| Lush Green Setting,PREMIUM,"Al Waha Villas, Dubai Land, Dubai",1600000,7128816600.0,4161ac39-5586-4320-b738-9c1b6917242b
DUB143586,Villa,VERIFIED,2,3,1690,Springs 9 | EXCLUSIVE | 2 Beds | 4M,PREMIUM,"Springs 9, The Springs, Dubai",2299000,6914248600.0,4eedac69-d1a4-4f48-afe7-08c7af28cade
status-4978527,Apartment,VERIFIED,2,2,1258,Exclusive | Well-Managed Property | High ROI,PREMIUM,"The Torch, Dubai Marina, Dubai",1850000,7130364500.0,0adf840d-b99d-4131-aa01-23094e8e24c4
DUB202312,Villa,VERIFIED,2,3,1690,Springs 2 | Single Row | Backing Souk 4M,PREMIUM,"Springs 2, The Springs, Dubai",2500000,6914222600.0,4eedac69-d1a4-4f48-afe7-08c7af28cade
WIL-S-6590,Apartment,VERIFIED,1,2,846,ONE BEDROOM |OPERA VIEW | LOW FLOOR | VOT,PREMIUM,"Standpoint Tower 1, Standpoint Towers, Downtown Dubai, Dubai",1900000,7195866490.0,0afc8222-d750-42de-b2a7-890e16241635
thre-3885902,Apartment,VERIFIED,2,2,1171,Tenanted | Motivated Seller| Close to Beach,PREMIUM,"Shams 4, Shams, Jumeirah Beach Residence, Dubai",2000000,7115831400.0,01c1ac13-cdd2-4c20-aae3-df488b3cca23
BHM-S-565862,Apartment,VERIFIED,2,2,1226,Upgraded | VASTU | Smart Home,PREMIUM,"Time Place Tower, Dubai Marina, Dubai",1700000,7123596500.0,1dd14140-d3ef-4387-b12e-4ebe4b021875
LP20774,Villa,VERIFIED,5,4,6168,Fully Upgraded | Private Pool | Owner Occupied,PREMIUM,"Meadows 5, Meadows, Dubai",10500000,6596532000.0,78e34179-e88e-4a32-97e7-ef1a2a57deac
TREO-S-20482,Villa,VERIFIED,3,3,2455,Exclusive | Upgraded & Extended | VOT,PREMIUM,"Springs 14, The Springs, Dubai",4000000,6914325400.0,56f81b96-f5cf-4c5b-b51e-6ffb7d1355c0
S2023-101,Villa,VERIFIED,5,5,10792,Ultra-Luxury Villa | Exclusive | Large Plot,PREMIUM,"Meadows 9, Meadows, Dubai",14000000,6595595000.0,a2e9cefc-027f-4764-81b3-fbf1e7470fe6
L-209245,Apartment,VERIFIED,4,6,2581,Vacant | Great Price | Dubai Eye View,PREMIUM,"Apartment Building 10, Bluewaters Residences, Bluewaters, Dubai",14000000,7149005136.0,bb191eba-d513-4acc-8eaa-0b49805801b5
providentrealestatebroker-4862397,Apartment,VERIFIED,2,4,2165,Two Parking | Big Balconies | Beautiful Layout,PREMIUM,"Al Badia Hillside Village, Dubai Festival City, Dubai",2250000,7130743200.0,8d799b8f-5fc6-4819-9a3a-7c3f7dc5d4b2
PF-VS-88713,Townhouse,VERIFIED,3,3,1384,Single Row | Middle Unit | 3 Years Post Handover,PREMIUM,"Sun, Arabian Ranches 3, Dubai",2200000,,ef939601-4e0b-4182-a235-f83219aebbec
WIL-S-6447,Villa,VERIFIED,4,4,4018,EXCLUSIVE | VACANT ON TRANSFER | LARGE PLOT,PREMIUM,"Meadows 1, Meadows, Dubai",8200000,6595156000.0,66a73d14-9a11-4925-a2b4-552120535af6
DB-S-30049,Apartment,VERIFIED,3,4,2333,Panoramic View | No Pillar | Multiple Options,PREMIUM,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",7000000,7122228000.0,ecd5d503-9aa2-4c34-973d-0dde1d61444c
RL33318,Apartment,VERIFIED,1,2,1107,High Floor | Partial Fountain And Canal Views,PREMIUM,"29 Burj Boulevard Tower 2, 29 Burj Boulevard, Downtown Dubai, Dubai",2101000,7110086039.0,d3571fbc-17be-4d00-aaaa-0ac6893959fa
axc-3962671,Apartment,VERIFIED,Studio,1,502,Fully Furnished | High Quality | Great investment,PREMIUM,"Luma21, Jumeirah Village Circle, Dubai",650000,71390384209.0,4f06b728-a6a3-44da-aa66-a8ea736e7b86
luxehomes-NT59702,Apartment,VERIFIED,1,2,736,1-Bedroom | City View | Low Floor,PREMIUM,"Iris Blue, Dubai Marina, Dubai",1300000,7128292900.0,dc4a00d8-91e4-4ee6-a18a-2457e310cc0a
RC-S-19282,Villa,VERIFIED,3,4,2043,Single Row | Delivery Q4-2023 | Payment Plan,PREMIUM,"Ruba, Arabian Ranches 3, Dubai",2250000,69286694222.0,dad764df-c4fe-4927-80c4-3689b10c24c3
ES-21483,Apartment,VERIFIED,2,3,1663,Exclusive | Fully Upgraded |Marina View,PREMIUM,"Paloma Tower, Marina Promenade, Dubai Marina, Dubai",3850000,7123551000.0,a31946dd-4d37-48e6-b7c3-999a816143af
pindrop-4971708,Apartment,VERIFIED,1,1,712,One Bedroom Apartment | Great Location,PREMIUM,"Afnan 3, Midtown, Dubai Production City (IMPZ), Dubai",650000,,f77b71fc-e9e6-4433-ac73-5aa77e547ce0
PER-S-5835,Apartment,VERIFIED,2,3,1327,Vacating soon | Liatris | Near Metro | Pool View,PREMIUM,"Azizi Liatris, Azizi Residence, Al Furjan, Dubai",1200000,7117539550.0,9b4014b6-b1b9-4d2c-858d-df0a5d42521c
edber-4982932,Penthouse,VERIFIED,3,5,6541,"just vacated, zabeel and bk view, triplex",PREMIUM,"Central Park Residential Tower, Central Park Tower, DIFC, Dubai",12850000,6714969500.0,a09f7339-432b-4d55-b995-3a77c76bc22a
HOF231895,Apartment,VERIFIED,3,3,1927,Full Skyline Views | Vacant | Fully Furnished,PREMIUM,"Sunrise Bay Tower 1, EMAAR Beachfront, Dubai Harbour, Dubai",7400000,71164274438.0,99bc703c-6548-481b-bbf0-d7745aa1264d
DB-S-39613,Apartment,VERIFIED,3,4,1988,High Floor I Great Location I Amazing View,PREMIUM,"Noura Tower, Al Habtoor City, Business Bay, Dubai",3550000,7130298412.0,74966421-6d95-47f3-9655-cd318d8f3d32
JVG220248,Townhouse,VERIFIED,4,5,3436,Exclusive | Private Pool | Vacant on Transfer,PREMIUM,"Jumeirah Luxury, Jumeirah Golf Estates, Dubai",5995000,69137526262.0,20ab65f5-bb05-4857-8aa2-2cea435829bb
PB-S-1736,Apartment,VERIFIED,1,1,772,Luxury Waterfront Living - Serviced and Furnished,PREMIUM,"Address Harbour Point, Dubai Creek Harbour (The Lagoons), Dubai",2200000,7178695128.0,82ffa380-2c53-4d6e-b9fd-166c56ef239f
PB-S-1739,Apartment,VERIFIED,2,2,944,Vacant | High Floor | Amazing Condition | Open Layout,PREMIUM,"Jenna Main Square 1, Jenna Main Square, Town Square, Dubai",960000,7126231760.0,22be22d1-1ee6-4eb6-a6b0-603f07356406
eandt-5014531,Apartment,VERIFIED,3,4,2398,Full Marina View | Semi Upgraded | Vacant 1st Aug,PREMIUM,"Al Fairooz Tower, Emaar 6 Towers, Dubai Marina, Dubai",6000000,7115904900.0,47ccf468-1a40-47d6-8963-2c1b5a4a17a4
ET-S-10037,Apartment,VERIFIED,2,2,1170,Beautiful Marina View | Vacant End June 2023,PREMIUM,"Beach Vista, EMAAR Beachfront, Dubai Harbour, Dubai",4300000,71156958149.0,47ccf468-1a40-47d6-8963-2c1b5a4a17a4
PS-060109,Apartment,VERIFIED,3,4,2121,Furnished | Burj Khalifa View | Vacant,PREMIUM,"Boulevard Point, Downtown Dubai, Dubai",6200000,7131652454.0,fccde4bd-e511-44c7-b821-2f272bdfe3cb
PF-VS-85181,Villa,VERIFIED,6,7,6641,Independent Villa I Gated I Ready to move in,PREMIUM,"West Village, Al Furjan, Dubai",5500000,6511771285.0,f047fb36-62ad-4aad-9cde-17b21cbf0f7c
